event_flag,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.88134766,-0.18334961,0.43041992,-32.2561,-20.15244,0.18292683
0,0.890625,-0.20166016,0.43823242,-36.341465,-13.719513,-13.567074
0,0.8925781,-0.16210938,0.45385742,-30.884148,-9.878049,-9.329268
0,0.95581055,-0.123291016,0.47875977,-10.579268,-11.189025,-3.5670733
0,0.9187012,-0.04321289,0.43847656,15.97561,-7.2865853,3.8109758
0,0.84277344,-0.026611328,0.37597656,8.231708,-5.7317076,4.847561
0,0.87841797,-0.24658203,0.45483398,31.524391,-6.920732,-1.5853659
0,0.8955078,-0.18286133,0.27270508,-11.737805,-1.097561,-1.2804878
0,0.9729004,-0.17871094,0.27441406,2.5304878,4.8170733,-4.542683
0,0.9086914,-0.12060547,0.24536133,-9.481708,7.378049,1.3719512
