user_id,false_rejection_rate,false_acceptance_rate,equal_error_rate_est
1,0.0,0.0019212295869356388,0.0009606147934678194
2,0.017391304347826087,0.0,0.008695652173913044
3,0.0,0.0009615384615384616,0.0004807692307692308
4,0.0,0.0009615384615384616,0.0004807692307692308
5,0.0,0.0,0.0
6,0.017391304347826087,0.0009606147934678194,0.009175959570646952
7,0.0,0.0,0.0
8,0.008620689655172414,0.0019230769230769232,0.005271883289124668
9,0.02608695652173913,0.0009606147934678194,0.013523785657603473
10,0.0,0.0,0.0
macro,0.006949025487256372,0.0007688613020025124,0.0038589433946294416
